RTO4_ID,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat
8369,0.190197488,0,0,0,0,0,0,0,0,0,0
8370,0.190197488,0,0,0.556566648,0.179977976,0,0,0,0,0,0
8371,0,0,0.204745588,0.18083012,0,0.200925625,0,0,0,0,0
8372,24.67498138,18.42377815,27.04102236,12.29711962,14.96149695,21.00340687,21.67587295,22.21628574,18.38858915,45.34603455,54.24227114
8373,1.14521303,1.119445487,1.019038057,1.298183457,1.28908145,1.560518413,0.804530405,0.38281518,1.350458947,0,0.217934388
8374,0.762362106,0.869666311,1.227872995,1.855462492,1.469059427,0.96868741,1.755213662,1.355564079,1.535095663,0.208996201,0.432146948
8375,0.19766656,0,0.204847479,0.373559385,0,0.787109097,0.804530405,0.579683372,0.378287808,0,0
8376,0.190197488,0,0.406592844,0.189313029,0,2.758162538,1.582562346,7.340112295,8.250025897,1.503562588,0.211140241
8380,0.384094626,0,0.204847479,0,0,0.380083545,0,0.193992076,0,0,0
8382,0.399357907,0.357544647,0,0.375317574,0.384515104,0.773955245,0.590345774,1.158539436,1.338397525,1.291285103,1.297767069
8383,0.982687932,0.188312238,1.623617909,0.371017881,0,0.386277004,0,0.583370487,0,0,0
8384,0,0.338464818,0,0.366378886,0.191623994,0.197909432,0.188436758,0.383286503,0.379285331,0.417992403,0
8385,13.48885257,13.32861971,12.20916435,5.566161927,9.164180439,14.90487097,13.01669781,10.04269824,12.4262351,14.0699869,13.23389718
8388,0,0.169232409,0,0,0,0,0,0,0,0,0
8390,0.188628649,0,0.611338431,0,0.177426564,0.385731075,0.188436758,0.579300612,1.918499976,2.575684875,1.963731761
8391,11.34015818,11.33545679,7.930186585,8.743234196,7.964755623,10.39504424,7.87900125,7.923054508,6.670540495,11.09397127,8.306464284
8394,9.811510406,8.974031712,12.00903393,10.02316991,9.144843606,10.74609177,8.083510307,8.887333479,10.1568073,10.69301426,11.76397512
8395,24.86757134,25.35206731,26.45617596,27.55450138,24.97101222,32.70984418,31.95890231,26.85123224,29.30893357,25.17397841,26.11396874
8398,0,0.335899076,0,0,0.173732258,0.190314737,0,0,0.189206673,0,0
8399,8.834627775,6.323383474,9.145655619,8.362082968,7.711128775,7.030357365,6.487121764,7.162060008,8.056370176,10.21685908,8.086951346
8400,1.530317838,1.810323468,1.826795301,2.045729905,1.657851778,1.95935347,1.569296841,2.128029459,1.919551977,1.72558986,1.320483186
8401,1.351917501,1.089958538,1.220783421,0.935648485,0.357684771,1.174787337,1.182154512,1.15916721,0.76419262,0.852745675,0.864976315
8402,0,0,0.206941496,0.187227304,0,0,0,0,0,0,0
8404,0.589555395,2.15053248,0.60714719,3.356636803,0.353710234,5.108645165,6.274261435,4.053202721,2.296666875,0.212277485,0
8405,0.37826748,1.077909578,0,0.18083012,0.177426564,0.978279141,1.771156456,1.934193834,3.250867091,0.41821666,0
8408,0,0,0.206941496,0,0,0,0,0,0,0,0
8409,1.554167505,1.251067567,1.017597072,2.039424138,0.549308765,1.376397135,1.16517427,1.545895814,1.527333239,0.211646862,0
8410,14.85444473,7.340354621,14.44593336,9.493382506,9.145671847,13.33005975,10.89047467,10.82271397,8.605277459,12.16703039,14.13928353
8411,2.898057277,2.676032186,2.027071152,2.97494438,4.558795821,3.700976967,3.74456936,3.85923742,3.661086718,3.40848246,3.030759108
8417,1.359010195,1.096522564,2.029777866,1.672090869,1.624619719,1.564462613,1.354342093,1.930978041,2.46763899,0.209220459,0.862251159
8418,5.795789417,1.28829354,6.926184491,0.927165575,1.852307414,9.015037886,9.065882748,5.980814619,4.784827135,8.354460056,20.8442274
8419,0.969647079,1.982588462,1.006752351,2.239718754,2.555168275,2.143001519,1.780674678,1.357769338,1.540867671,0.431247731,0
8421,0.761118404,0.738863417,0.60601188,0.937406674,0.923444969,0.400832093,0.788300754,0.968862249,1.5272077,1.070374747,0.644316771
8422,1.719271624,3.01892144,2.241816811,2.431300344,1.825196851,1.75477735,1.780961534,1.935047916,1.905766467,1.282652232,1.314041906
8423,1.573130437,5.023082771,1.627756651,8.583427468,10.04997514,4.129296997,5.884254569,3.477432773,8.061721175,2.556895851,5.194824196
8424,11.54536358,9.585752414,8.538153105,6.68734861,6.377030484,10.3437673,7.702309289,9.459101439,7.456539451,9.190536898,8.921903872
8425,11.73326555,12.60202117,12.39811895,15.06652564,13.13771077,11.92538622,9.822032397,10.4352968,12.2711705,8.974605478,9.154174794
8430,0,0,0,0,0,0,0,0,0,0.219600869,0
8431,6.689304581,5.192003528,4.894083506,3.530801363,2.941691574,5.674958227,7.665738418,9.28073061,8.046582738,6.862639976,5.865869851
8432,4.4357711,2.719197789,3.451984614,4.640438771,3.67906879,2.335924764,3.553768202,3.667423829,2.684074664,2.573258472,2.832429905
