Metabolite,G_SD_exp,G_SD_stat,GX_SD_exp,GX_SD_trans,GX_SD_stat,X_SD_exp,X_SD_stat,A_SD_exp,A_SD_stat,C_SD_exp,C_SD_stat,C_SD_exp (extracellular),C_SD_stat (extracellular)
protocatechuic acid,,,,,,,,,,128833.3333,297739.3333,2975456.667,1248954.333
4-hydroxybenzoic acid,,,,,,,,,,269115,760120.3333,56992260.33,128111535
"1,3-dihydroxyacetone",725752.4333,1099119.6,668972.5,1085701.533,1122557.233,844663.5333,450209.3667,1312697.967,940315.3,5178188.9,1141823.467,,
2-furoic acid,3806.866667,2083.566667,2010192.267,2091563.233,2019684.567,3348644.533,319464.4667,4405.766667,0,0,0,,
2-hydroxycinnamic acid,0,0,0,0,0,0,0,0,0,588947.8,174977.8,,
2-hydroxyglutaric acid,1263780.367,292643.1667,2006108.1,447403.6667,313812.3333,518829.9667,155635.1333,1741741.733,1116572.1,1748418.667,5091239.767,,
2-hydroxypyridine,2461247.2,2061516.133,2488706.4,2591032.333,2623808.5,3550294.4,3498958.367,3382772.667,3412124,3399459.133,2532609.133,,
2-isopropylmalic acid,1653646.433,1905518,1404016.9,3160286.733,1971856.733,1318629.233,655403.9,441699.3,352036.3667,430931.4333,922029.6333,,
2-keto-gluconic acid,1223994.9,1821104.2,1090917.033,3192843.867,2951926.633,2967650.5,1474005.367,21322255.2,10929837.43,245002.5667,291250.9667,,
2-phosphoglyceric acid,119476.7333,616848.6,138860.1333,859423.0667,411025.9,1347385.033,285223.6,1093427.1,461113.9667,47309.6,195919.6,,
"2,5-dihydroxy pyrazine*",1466699.733,1052449.5,1398515.867,1129146,1273768.767,870408.2,1110573.467,1512502.067,1172270.467,491185.3,380975.7667,,
3-(4-hydroxyphenyl)propionic acid,0,0,0,0,0,0,0,0,0,166882.4,160845.5333,,
3-aminoisobutyric acid,41392.16667,80551.23333,26951.36667,8352.933333,35484.53333,25520.73333,46217.3,11810.86667,38874.9,15681.9,17050.2,,
3-hydroxy-3-methylglutaric acid,271409.1333,556949.3,203760.0667,662665.4667,670705,334486.6333,701846.2667,328692.4333,545118.9333,563407.8333,1052841.1,,
3-hydroxyisobutyric acid,174530.4333,222584.9333,197391.0667,419456.1667,298576.1333,646531.3667,65547.83333,123308.8,55062.2,146254.3,186607.0667,,
3-hydroxyisovaleric acid*,463511.9667,3371055.467,415144.0333,4724355.5,3140012.767,256527.6333,255394.8333,343861.2667,189267.5333,281398.3333,958286.9667,,
3-indolelactic acid,720998.9667,2041028.967,591873.9333,4405145.667,3192186.5,4564807.933,2161179.367,4882539.067,2005595.7,497765.7333,149615.0333,,
3-phosphoglyceric acid,66297.73333,131262.8333,55337.43333,144985.8,192036.9,159993.1,109968.6333,119138.1667,96053.9,52980.7,99239.6,,
4-aminobutanoic acid,22703944.03,7106673.067,23547537.47,21189239.37,24634219.23,21820065.23,11853650.83,22592924.73,13729165.23,2471811.133,6638696.167,,
4-hydroxycinnamic acid (pCA),0,0,0,0,0,0,0,0,0,18995999.73,17360653.53,,
aconitic acid,155420.4,222504.9667,1207104.833,9647499.9,19352452.1,27041082.6,138255.2333,3725088.967,142219.8,158709.5667,206981.8333,,
