pc1	pc2	protein	pc4	ko	extra
df	oid	10000	loc	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
df	oid	10001	loc		
df	oid	10002	loc		
df	oid	10003	loc	K18748	SSD1; protein SSD1
df	oid	10004	loc		
df	oid	10006	loc		
df	oid	10007	loc	K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
df	oid	10008	loc		
df	oid	10010	loc	K03937	NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4
df	oid	10011	loc		
df	oid	10012	loc	K00253	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
df	oid	10013	loc		
df	oid	10014	loc		
df	oid	10015	loc	K02930	RP-L4e, RPL4; large subunit ribosomal protein L4e
df	oid	10016	loc	K11436	PRMT3; type I protein arginine methyltransferase [EC:2.1.1.319]
df	oid	10017	loc	K22745	AIFM2; apoptosis-inducing factor 2
df	oid	10018	loc		
df	oid	10019	loc		
df	oid	10022	loc		
df	oid	10023	loc	K23678	PQLC2, SLC66A1, LAAT1; solute carrier family 66 (lysosomal lysine-arginine transporter), member 1
df	oid	10024	loc		
df	oid	10025	loc		
df	oid	10026	loc	K02893	RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae
df	oid	10027	loc	K08741	MSH5; DNA mismatch repair protein MSH5
df	oid	10029	loc	K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
df	oid	10030	loc		
df	oid	10033	loc	K03358	APC11, ANAPC11; anaphase-promoting complex subunit 11
df	oid	10034	loc		
df	oid	10035	loc		
df	oid	10036	loc		
df	oid	10037	loc		
df	oid	10038	loc	K15918	GLYK; D-glycerate 3-kinase [EC:2.7.1.31]
df	oid	10039	loc	K13344	PEX13; peroxin-13
df	oid	10040	loc	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]
df	oid	10042	loc	K07297	ADIPOR; adiponectin receptor
